Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Barometric Pressure [Pa](TimeStep),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),NORTH ZONE:Zone Air Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),CHILLED WATER CONDENSER LOOP:Plant Supply Side Cooling Demand Rate [W](TimeStep),CHILLED WATER CONDENSER LOOP:Plant Supply Side Heating Demand Rate [W](TimeStep),REHEAT COIL ZONE 1:Heating Coil Heating Energy [J](TimeStep),REHEAT COIL ZONE 2:Heating Coil Heating Energy [J](TimeStep),REHEAT COIL ZONE 3:Heating Coil Heating Energy [J](TimeStep),DETAILED COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),LITTLE CHILLER:Chiller Electricity Rate [W](TimeStep),LITTLE CHILLER:Chiller Evaporator Cooling Rate [W](TimeStep),LITTLE CHILLER:Chiller Evaporator Inlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Evaporator Outlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](TimeStep),LITTLE CHILLER:Chiller Condenser Heat Transfer Rate [W](TimeStep),LITTLE CHILLER:Chiller Condenser Inlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Condenser Outlet Temperature [C](TimeStep),LITTLE CHILLER:Chiller Condenser Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Electricity Rate [W](TimeStep),BIG CHILLER:Chiller Evaporator Cooling Rate [W](TimeStep),BIG CHILLER:Chiller Evaporator Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Condenser Heat Transfer Rate [W](TimeStep),BIG CHILLER:Chiller Condenser Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Mass Flow Rate [kg/s](TimeStep),BIG TOWER1:Cooling Tower Inlet Temperature [C](TimeStep),BIG TOWER1:Cooling Tower Outlet Temperature [C](TimeStep),BIG TOWER1:Cooling Tower Mass Flow Rate [kg/s](TimeStep),BIG TOWER1:Cooling Tower Heat Transfer Rate [W](TimeStep),BIG TOWER1:Cooling Tower Fan Electricity Rate [W](TimeStep),BIG TOWER1:Cooling Tower Fan Electricity Energy [J](TimeStep),BIG TOWER2:Cooling Tower Inlet Temperature [C](TimeStep),BIG TOWER2:Cooling Tower Outlet Temperature [C](TimeStep),BIG TOWER2:Cooling Tower Mass Flow Rate [kg/s](TimeStep),BIG TOWER2:Cooling Tower Heat Transfer Rate [W](TimeStep),BIG TOWER2:Cooling Tower Fan Electricity Rate [W](TimeStep),BIG TOWER2:Cooling Tower Fan Electricity Energy [J](TimeStep) 
 01/21  01:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.998005648503874,14.997979778125299,15.004634887868335,0.0,0.0,0.0,11168.706823378172,0.0,0.0,1900234.0516717707,1980883.06938909,2908775.8440426036,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  02:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.997688252662185,15.001702323564189,14.999021287489427,0.0,0.0,0.0,11186.938941817963,0.0,0.0,1909700.0795123552,1989218.3226618597,2908939.492816871,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  02:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004454394987875,14.995074444337496,15.00169385314573,0.0,0.0,0.0,11236.497709611802,0.0,0.0,1919069.0136767596,1989266.9703187657,2923580.8040062619,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  02:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.000963091042293,15.005927568250236,14.998001974209455,0.0,0.0,0.0,11253.07047751473,0.0,0.0,1919002.462728464,2005545.6951541736,2923480.8329005956,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  02:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.991541002874796,15.005663596568949,15.002020681469439,0.0,0.0,0.0,11285.026219646272,0.0,0.0,1918985.2247685749,2005527.7052966117,2937951.6668684107,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  02:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.004567190768136,14.994312706864593,14.997799861688245,0.0,0.0,0.0,11305.52583049073,0.0,0.0,1937609.0092309032,2005616.814921354,2938080.6013813,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  02:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.006141224794688,15.00458400899409,15.001409550061878,0.0,0.0,0.0,11368.716437995055,0.0,0.0,1937607.276285593,2021835.2986741798,2952502.244538245,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  03:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.998812846806349,15.006765827116528,14.999311406371535,0.0,0.0,0.0,11353.21244023351,0.0,0.0,1937406.2912427767,2021625.8690198716,2952200.3002352097,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  03:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.000467981847267,14.99661783962592,15.003531057612625,0.0,0.0,0.0,11403.359488354123,0.0,0.0,1946742.0072757356,2021750.3255172428,2966730.937715406,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  03:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.008344711383963,15.006790672506924,14.999938366228934,0.0,0.0,0.0,11437.028523605919,0.0,0.0,1955953.0913986653,2037874.384806021,2966775.0574647246,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  03:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.006840561584835,15.009071477238852,15.00548161009083,0.0,0.0,0.0,11467.596070147587,0.0,0.0,1955765.4018747803,2037679.099528168,2980772.654774675,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  03:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.999587141846489,15.000922373893874,15.00404220326443,0.0,0.0,0.0,11453.704994704887,0.0,0.0,1955675.4721101835,2037585.5303846643,2980637.541795361,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  03:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.001131974072912,15.000064984096384,15.007787616454492,0.0,0.0,0.0,11519.496269109142,0.0,0.0,1965054.6379281593,2045826.8175333976,2995194.35715922,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  04:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.998719449782019,15.007027936655744,15.005051967629722,0.0,0.0,0.0,11520.528414031925,0.0,0.0,1964982.294914621,2053720.1225636085,2995085.66468108,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  04:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.002847816663627,15.003892683450705,14.996740437309564,0.0,0.0,0.0,11530.443877776988,0.0,0.0,1974091.8743133143,2053717.1056119323,2995081.3213642945,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  04:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.999240567001725,14.99382070965894,15.00093273153433,0.0,0.0,0.0,11566.15191480655,0.0,0.0,1974195.1432080919,2053824.3971819767,3009373.4525343074,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  04:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.001691973424422,15.005175187071613,14.99898822135329,0.0,0.0,0.0,11601.504079098384,0.0,0.0,1983386.3825263053,2069787.1355339364,3009541.4546497964,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  04:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.000076350504952,15.008133196293248,15.005232369483223,0.0,0.0,0.0,11632.612603415038,0.0,0.0,1983241.3896903934,2069636.0427041534,3023392.040001988,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  04:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.005712361762024,15.000895564377493,15.004532115559352,0.0,0.0,0.0,11635.587321199337,0.0,0.0,1992177.2932767752,2069522.86575839,3023228.856484596,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  05:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.003778495746218,15.002478167824295,14.996933592693898,0.0,0.0,0.0,11644.292407215507,0.0,0.0,1992186.9131766144,2077409.5069259727,3023243.246686387,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  05:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.995669748374514,14.999004382337624,15.00127661998672,0.0,0.0,0.0,11679.684609630805,0.0,0.0,1992318.5649799039,2077546.596443074,3037438.4734360689,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  05:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.998571088657237,15.00105091041726,14.999915219989902,0.0,0.0,0.0,11699.953525962686,0.0,0.0,2001432.2682581403,2085499.8342053276,3037591.2593248186,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  05:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.99749509413297,14.998061687152788,15.006232185297325,0.0,0.0,0.0,11732.190647617397,0.0,0.0,2001382.8820309805,2085448.445591403,3051447.219447471,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  05:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.002771889518954,14.991002416550945,15.00551641430054,0.0,0.0,0.0,11735.906125695801,0.0,0.0,2010314.225770313,2085399.6389923932,3051376.744553085,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  05:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.000925176009737,15.004487076665328,14.998385562353077,0.0,0.0,0.0,11759.6996867048,0.0,0.0,2010327.635416755,2101017.707651062,3051396.813025551,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  06:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.99462268166097,15.007569513955913,15.004229346167929,0.0,0.0,0.0,11793.349488497046,0.0,0.0,2010306.0385991792,2100995.1595015835,3065225.7643547549,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  06:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.005629451566966,15.000140376841275,15.00217286808975,0.0,0.0,0.0,11411.001040803436,0.0,0.0,2010275.6728147814,2005509.153022156,2995186.8162528935,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  06:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.008275374385065,14.995300747027898,14.996170604824523,0.0,0.0,0.0,11469.752517960282,0.0,0.0,2010224.9974438318,2005458.9704100206,2995112.1893726156,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  06:30:00,-16.6,-16.6,0.0008974771856968442,98886.0,15.001525577024696,14.991672626783501,15.00352702646387,0.0,0.0,0.0,11530.997741684894,0.0,0.0,2010338.203867826,2005572.0217521077,3009416.383695649,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  06:40:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.994442334551716,14.998400525090876,15.00498555933136,0.0,0.0,0.0,11544.627347357718,0.0,0.0,2010373.1127455994,2013732.9120561742,3009467.8935570486,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  06:50:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.98923216574458,14.99889644917066,14.999506956992205,0.0,0.0,0.0,11543.08252550394,0.0,0.0,2010380.8465456158,2013740.7149299172,3009479.288640157,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  07:00:00,-16.6,-16.6,0.0008974771856968442,98886.0,14.994092808826333,15.003650915773177,15.005759917152627,0.0,0.0,0.0,11613.050227084486,0.0,0.0,2019490.4046096707,2021998.9846328789,3023789.9343631437,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  07:10:00,-16.6,-16.6,0.0008974771856968442,98886.0,19.55845093543171,19.561677594951115,19.240337321235417,0.0,0.0,0.0,25134.127958618483,0.0,0.0,3878150.342831189,3422244.661936319,5158318.23855756,0.0,0.0,0.0,6.669999999999999,6.669999999999999,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.669999999999999,6.669999999999999,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0 
 01/21  07:20:00,-16.6,-16.6,0.0008974771856968442,98886.0,19.94800981596342,19.963555197437793,19.94301469232362,0.0,0.0,0.0,20354.453492283472,0.0,0.0,3697511.803817999,3296884.701007855,5195341.336836042,0.0,0.0,0.0,6.669999999999996,6.669999999999996,0.0,0.0,9.999999999999997,9.999999999999997,0.0,0.0,0.0,6.669999999999996,6.669999999999996,0.0,0.0,9.999999999999997,9.999999999999997,0.0,9.999999999999997,9.999999999999997,0.0,0.0,0.0,0.0,9.999999999999997,9.999999999999997,0.0,0.0,0.0,0.0 
